video_id,total_views,total_comments,total_likes,total_shares,total_watch_time_min,total_subscribers_gained,total_subscribers_lost,avg_watch_duration_per_view,avg_view_percentage,total_engagement,engagement_rate,like_rate,comment_rate,share_rate,net_subscribers,days_active,date_first_published,date_last_recorded
Gs-UuUNF95c,1277566,281,11216,3276,57165617,1881,53,44.87635036644572,21.529367219917013,14773,0.8999143684161914,0.8779194186445162,0.0219949497716752,0.2564251083701351,1828,964,2022-03-23,2024-11-10
H1kYxVE0eYk,17,1,2,0,6,0,0,0.3037037037037037,59.45,3,17.647058823529413,11.76470588235294,5.88235294117647,0,0,9,2024-09-19,2024-10-17
HPK1bW8Khig,2082,6,103,26,6335,6,1,3.6752080203307393,69.32901023890784,135,5.235350624399616,4.9471661863592695,0.2881844380403458,1.248799231508165,5,586,2021-05-02,2024-10-28
IBaJNoebnrU,2253,7,76,14,6498,2,0,2.8244104254616507,58.03912885662432,97,3.683976919662672,3.373280071016423,0.3106968486462494,0.6213936972924988,2,551,2021-04-30,2024-11-10
IvpI5g0SLMY,1381,5,42,6,1538,10,1,1.0050118034013156,54.394444444444446,53,3.403330919623461,3.041274438812455,0.3620564808110065,0.4344677769732078,9,288,2021-02-08,2024-11-06
IwdsqsAHOak,23803,17,388,117,568395,52,2,22.64023843366584,30.307720090293454,522,1.7014662017392763,1.630046632777381,0.07141956896189557,0.4915346805024577,50,443,2023-08-08,2024-11-08
JTNgxUmjr8g,40136,63,684,286,860873,100,6,20.108864280812465,29.611291540785498,1033,1.8611720151484952,1.704205700617899,0.15696631453059598,0.7125772373928643,94,1324,2021-03-03,2024-11-10
JqqfYtolNXw,609,5,33,3,707,1,1,1.1318886275832871,48.291838235294115,41,6.239737274220033,5.41871921182266,0.8210180623973727,0.49261083743842365,0,136,2024-02-23,2024-11-08
K8twO3GQt6s,17077,25,397,138,365210,53,2,19.451247912649947,32.61289820359281,560,2.4711600398196403,2.3247643028635006,0.14639573695613983,0.8081044679978919,51,835,2021-07-30,2024-11-09
KRw-glBAUzE,1864,3,77,15,5322,7,0,2.443019791772196,50.87826789838337,95,4.291845493562231,4.130901287553648,0.1609442060085837,0.8047210300429184,7,433,2021-05-12,2024-10-13
L1Uqxdc4O8U,10995,15,193,92,191941,29,0,17.230583343041715,28.617042591481702,300,1.891768985902683,1.7553433378808552,0.1364256480218281,0.8367439745338789,29,1667,2020-02-25,2024-11-10
LQk4b8oFm4s,67513,32,1007,327,2257157,124,2,29.91410963426882,26.980829787234043,1366,1.5389628664109134,1.4915645875609143,0.04739827884999926,0.4843511619984299,122,1410,2020-12-27,2024-11-09
